Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,620.0,Seagate Technology,Technology Hardware & Equipment,Cayman Islands,12280.0,1510,10620.0,11370.0,
2009,1530.0,Seagate Technology,Technology Hardware & Equipment,Cayman Islands,11310.0,-2230,7060.0,2110.0,
2010,812.0,Seagate Technology,Technology Hardware & Equipment,Cayman Islands,10190.0,360,7390.0,10660.0,
2011,856.0,Seagate Technology,Technology Hardware & Equipment,Ireland,11121.0,1196.0,8658.0,6133.0,
2012,,Seagate Technology,Technology Hardware & Equipment,Ireland,11560.0,915.0,9171.0,11985.0,771.0
2013,,Seagate Technology,Technology Hardware & Equipment,Ireland,16332.0,3233.0,8742.0,12686.0,641.0
2014,,Seagate Technology,Technology Hardware & Equipment,Ireland,13967.0,1619.0,8890.0,18739.0,682.0
2015,,Seagate Technology,Technology Hardware & Equipment,Ireland,14188.0,2029.0,10814.0,17317.0,660.0
2016,,Seagate Technology,Technology Hardware & Equipment,Ireland,12168.0,628.0,8796.0,7505.0,1073.0
2017,,Seagate Technology,Technology Hardware & Equipment,Ireland,10940.0,513.0,8561.0,13829.0,1036.0
2018,,Seagate Technology,Technology Hardware & Equipment,Ireland,10755.0,835.0,9012.0,16279.0,968.0
2019,,Seagate Technology,Technology Hardware & Equipment,Ireland,11344.0,1676.0,8789.0,14102.0,867.0
2020,,Seagate Technology,Technology Hardware & Equipment,Ireland,10363.0,1821.0,8829.0,13035.0,840.0
2021,,Seagate Technology,Technology Hardware & Equipment,Ireland,10172.0,989.0,8986.0,19002.0,890
2022,906,Seagate Technology,Technology Hardware & Equipment,Ireland,11975.0,1838.0,9375.0,18042.0,
