Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2011,1631.0,Senshu Ikeda Holdings,Banking,Japan,1137.0,-30.4,52844.0,1836.0,
2012,,Senshu Ikeda Holdings,Banking,Japan,1292.0,92.5,58424.0,1706.0,1632.0
2013,,Senshu Ikeda Holdings,Banking,Japan,1379.0,46.0,60269.0,1283.0,1669.0
2014,,Senshu Ikeda Holdings,Banking,Japan,999.0,113.6,50675.0,1078.0,1687.0
2015,,Senshu Ikeda Holdings,Banking,Japan,854.0,177.9,45482.0,1150.0,1724.0
2016,,Senshu Ikeda Holdings,Banking,Japan,865.0,149.8,44816.0,1098.0,1755.0
2017,,Senshu Ikeda Holdings,Banking,Japan,899.0,115.4,47883.0,1149.0,1732.0
2018,,Senshu Ikeda Holdings,Banking,Japan,847.0,89.8,48921.0,1100.0,1772.0
2019,,Senshu Ikeda Holdings,Banking,Japan,740.0,47.0,50094.0,701.0,1771.0
2020,,Senshu Ikeda Holdings,Banking,Japan,758.0,53.8,50512.0,441.0,1838.0
2021,,Senshu Ikeda Holdings,Banking,Japan,656.0,63.2,58625.0,448.0,1883
2022,1830,Senshu Ikeda Holdings,Banking,Japan,630.0,82.0,63100.0,391.0,
