Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1882.0,Shire,Drugs & Biotechnology,United Kingdom,1890.0,60,5580.0,11010.0,
2009,1814.0,Shire,Drugs & Biotechnology,United Kingdom,2400.0,110,3760.0,6660.0,
2010,1186.0,Shire,Drugs & Biotechnology,Ireland,3010.0,490,4620.0,12110.0,
2011,1177.0,Shire,Drugs & Biotechnology,Ireland,3494.0,591.8,5296.0,16171.0,
2012,,Shire,Drugs & Biotechnology,Ireland,4114.0,834.7,6335.0,19403.0,1080.0
2013,,Shire,Drugs & Biotechnology,Ireland,4648.0,745.4,7317.0,17151.0,1096.0
2014,,Shire,Drugs & Biotechnology,Ireland,4996.0,670.5,8323.0,28981.0,1041.0
2015,,Shire,Drugs & Biotechnology,Ireland,6024.0,3473.6,13632.0,45610.0,633.0
2016,,Shire,Drugs & Biotechnology,Ireland,6417.0,1302.8,16610.0,36566.0,631.0
2017,,Shire,Drugs & Biotechnology,Ireland,11584.0,342.3,67035.0,51264.0,562.0
2018,,Shire,Drugs & Biotechnology,Ireland,15348.0,4434.0,67869.0,50304.0,246.0
