Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,691.0,Sime Darby,Conglomerates,Malaysia,7940.0,740,9680.0,21820.0,
2009,569.0,Sime Darby,Conglomerates,Malaysia,10410.0,1070,10790.0,9160.0,
2010,599.0,Sime Darby,Conglomerates,Malaysia,8820.0,650,9920.0,15270.0,
2011,910.0,Sime Darby,Conglomerates,Malaysia,10125.0,224.0,11417.0,17850.0,
2012,,Sime Darby,Conglomerates,Malaysia,13861.0,1213.4,13987.0,19163.0,530.0
2013,,Sime Darby,Conglomerates,Malaysia,15012.0,1309.0,14905.0,17330.0,542.0
2014,,Sime Darby,Conglomerates,Malaysia,14427.0,1090.2,15217.0,17062.0,598.0
2015,,Sime Darby,Conglomerates,Malaysia,13348.0,867.8,14849.0,15954.0,709.0
2016,,Sime Darby,Conglomerates,Malaysia,11475.0,505.5,15207.0,12870.0,813.0
2017,,Sime Darby,Conglomerates,Malaysia,10717.0,697.0,15397.0,14292.0,791.0
2018,,Sime Darby,Conglomerates,Malaysia,8746.0,677.3,6118.0,4631.0,1535.0
