Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2011,314.0,SingTel,Telecommunications services,Singapore,12059.0,2792.9,26509.0,37164.0,
2012,,SingTel,Telecommunications services,Singapore,14330.0,3033.5,30558.0,39528.0,295.0
2013,,SingTel,Telecommunications services,Singapore,14964.0,3170.7,31379.0,45728.0,295.0
2014,,SingTel,Telecommunications services,Singapore,13746.0,2894.4,30865.0,46219.0,324.0
2015,,SingTel,Telecommunications services,Singapore,13427.0,2952.7,31131.0,52136.0,325.0
2016,,SingTel,Telecommunications services,Singapore,12511.0,2809.4,30928.0,46722.0,320.0
2017,,SingTel,Telecommunications services,Singapore,11949.0,2778.0,33043.0,45181.0,330.0
2018,,SingTel,Telecommunications services,Singapore,12686.0,4081.3,36551.0,43293.0,354.0
2019,,SingTel,Telecommunications Services,Singapore,12863.0,2299.0,35745.0,37833.0,409.0
2020,,SingTel,Telecommunications Services,Singapore,12451.0,933.3,36391.0,32746.0,498.0
2021,,SingTel,Telecommunications Services,Singapore,12058.0,783.3,34382.0,31493.0,549
2022,735,SingTel,Telecommunications Services,Singapore,11835.0,776.7,34990.0,32056.0,
