Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1424.0,Sino Land,Diversified Financials,Hong Kong/China,970.0,430,9560.0,5390.0,
2009,1041.0,Sino Land,Diversified Financials,Hong Kong/China,810.0,600,11350.0,4720.0,
2010,1396.0,Sino Land,Diversified Financials,Hong Kong/China,1260.0,230,11770.0,5490.0,
2011,1596.0,Sino Land,Real Estate,Hong Kong-China,999.0,422.1,12478.0,4466.0,
2012,,Sino Land,Real Estate,Hong Kong-China,772.0,698.5,14194.0,3927.0,1486.0
2013,,Sino Land,Real Estate,Hong Kong-China,1091.0,644.0,14717.0,3858.0,1534.0
2014,,Sino Land,Real Estate,Hong Kong,674.0,565.9,17387.0,3780.0,1551.0
2015,,Sino Land,Real Estate,Hong Kong,1408.0,499.4,18335.0,4511.0,1643.0
2016,,Sino Land,Real Estate,Hong Kong,2927.0,624.5,18686.0,4618.0,1510.0
2017,,Sino Land,Real Estate,Hong Kong,2164.0,438.9,19324.0,5203.0,1722.0
2018,,Sino Land,Real Estate,Hong Kong,1549.0,960.7,20304.0,5870.0,1472.0
