Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2010,1435.0,Sinopharm Group,Health Care Equipment & Services,China,5610.0,90,2340.0,9540.0,
2011,1542.0,Sinopharm Group,Drugs & Biotechnology,China,6891.0,123.9,4121.0,8302.0,
2012,,Sinopharm Group,Drugs & Biotechnology,China,10504.0,183.4,6340.0,6562.0,1526.0
2013,,Sinopharm Group,Drugs & Biotechnology,China,21521.0,313.0,12806.0,8034.0,952.0
2014,,Sinopharm Group,Drugs & Biotechnology,China,27148.0,366.0,17419.0,7118.0,903.0
2015,,Sinopharm Group,Drugs & Biotechnology,China,32481.0,466.6,20738.0,11243.0,726.0
2016,,Sinopharm Group,Drugs & Biotechnology,China,36139.0,87.1,21313.0,12468.0,829.0
2017,,Sinopharm Group,Drugs & Biotechnology,China,38892.0,700.8,22694.0,12696.0,581.0
2018,,Sinopharm Group,Drugs & Biotechnology,China,41110.0,780.8,26035.0,11747.0,651.0
2019,,Sinopharm Group,Drugs & Biotechnology,China,51874.0,880.0,34340.0,11103.0,572.0
2020,,Sinopharm Group,Drugs & Biotechnology,China,61525.0,904.4,38745.0,8448.0,556.0
2021,,Sinopharm Group,Drugs & Biotechnology,China,66263.0,1045.1,47591.0,8890.0,580
2022,691,Sinopharm Group,Drugs & Biotechnology,China,80801.0,1203.3,52627.0,6766.0,
