Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,696.0,Skanska,Construction,Sweden,21470.0,630,12060.0,8050.0,
2009,865.0,Skanska,Construction,Sweden,18450.0,400,10310.0,2950.0,
2010,640.0,Skanska,Construction,Sweden,19100.0,510,11170.0,6890.0,
2011,738.0,Skanska,Construction,Sweden,18202.0,599.0,11340.0,8143.0,
2012,,Skanska,Construction,Sweden,17213.0,1100.2,11830.0,7503.0,707.0
2013,,Skanska,Construction,Sweden,19901.0,439.0,13370.0,8049.0,832.0
2014,,Skanska,Construction,Sweden,20950.0,577.9,13629.0,9732.0,781.0
2015,,Skanska,Construction,Sweden,20876.0,559.8,12116.0,9696.0,875.0
2016,,Skanska,Construction,Sweden,18141.0,566.6,11797.0,9061.0,873.0
2017,,Skanska,Construction,Sweden,16978.0,668.3,11967.0,9297.0,909.0
2018,,Skanska,Construction,Sweden,18481.0,351.0,13612.0,7850.0,1356.0
2019,,Skanska,Construction,Sweden,19737.0,525.0,13117.0,7729.0,1150.0
2020,,Skanska,Construction,Sweden,18370.0,664.0,13272.0,7891.0,1008.0
2021,,Skanska,Construction,Sweden,17420.0,1072.8,15297.0,11336.0,846
2022,1297,Skanska,Construction,Sweden,16758.0,799.6,15357.0,8539.0,
