Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1725.0,Suruga Bank,Banking,Japan,880.0,170,25890.0,2970.0,
2009,1590.0,Suruga Bank,Banking,Japan,1150.0,170,31000.0,2070.0,
2010,1752.0,Suruga Bank,Banking,Japan,1040.0,110,31560.0,2370.0,
2011,1743.0,Suruga Bank,Banking,Japan,1085.0,152.4,34910.0,2271.0,
2012,,Suruga Bank,Banking,Japan,1235.0,31.0,40600.0,2543.0,1744.0
2013,,Suruga Bank,Banking,Japan,1230.0,188.0,42153.0,3767.0,1756.0
2014,,Suruga Bank,Banking,Japan,1164.0,273.2,37159.0,4524.0,1719.0
2015,,Suruga Bank,Banking,Japan,1173.0,290.7,34784.0,5132.0,1764.0
2016,,Suruga Bank,Banking,Japan,1117.0,306.1,36497.0,4572.0,1660.0
2017,,Suruga Bank,Banking,Japan,1300.0,370.5,38486.0,4415.0,1529.0
2018,,Suruga Bank,Banking,Japan,1356.0,406.8,39701.0,3149.0,1637.0
