Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,509.0,Suzuki Motor,Consumer Durables,Japan,26920.0,640,19070.0,12390.0,
2009,363.0,Suzuki Motor,Consumer Durables,Japan,35090.0,800,23180.0,8570.0,
2010,502.0,Suzuki Motor,Consumer Durables,Japan,30860.0,280,20590.0,11620.0,
2011,618.0,Suzuki Motor,Consumer Durables,Japan,26419.0,309.4,24401.0,13014.0,
2012,,Suzuki Motor,Consumer Durables,Japan,31377.0,543.4,25858.0,13529.0,514.0
2013,,Suzuki Motor,Consumer Durables,Japan,30347.0,651.0,27160.0,13337.0,487.0
2014,,Suzuki Motor,Consumer Durables,Japan,29002.0,1172.3,26397.0,14634.0,436.0
2015,,Suzuki Motor,Consumer Durables,Japan,28395.0,991.0,25389.0,17163.0,479.0
2016,,Suzuki Motor,Consumer Durables,Japan,26664.0,984.8,23242.0,14196.0,488.0
2017,,Suzuki Motor,Consumer Durables,Japan,28318.0,1359.8,25885.0,19945.0,396.0
2018,,Suzuki Motor,Consumer Durables,Japan,33900.0,1946.0,31414.0,27617.0,366.0
2019,,Suzuki Motor,Consumer Durables,Japan,35051.0,2102.0,29363.0,21321.0,394.0
2020,,Suzuki Motor,Consumer Durables,Japan,33563.0,1050.7,31686.0,15744.0,480.0
2021,,Suzuki Motor,Consumer Durables,Japan,28453.0,1226.1,37068.0,21035.0,420
2022,561,Suzuki Motor,Consumer Durables,Japan,32556.0,1537.8,34677.0,15389.0,
