Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,442.0,Svenska Handelsbanken,Banking,Sweden,4350.0,2400,287610.0,17530.0,
2009,229.0,Svenska Handelsbanken,Banking,Sweden,14490.0,2400,287660.0,7540.0,
2010,267.0,Svenska Handelsbanken,Banking,Sweden,8810.0,1430,297270.0,17200.0,
2011,300.0,Svenska Handelsbanken,Banking,Sweden,8928.0,1641.8,320280.0,20310.0,
2012,,Svenska Handelsbanken,Banking,Sweden,10920.0,1786.5,357969.0,20893.0,282.0
2013,,Svenska Handelsbanken,Banking,Sweden,11529.0,2238.1,367001.0,28186.0,247.0
2014,,Svenska Handelsbanken,Banking,Sweden,10080.0,2194.2,387663.0,32141.0,289.0
2015,,Svenska Handelsbanken,Banking,Sweden,9221.0,2211.5,359809.0,29093.0,313.0
2016,,Svenska Handelsbanken,Banking,Sweden,6708.0,1945.9,352405.0,25219.0,357.0
2017,,Svenska Handelsbanken,Banking,Sweden,6360.0,1897.3,289234.0,25853.0,383.0
2018,,Svenska Handelsbanken,Banking,Sweden,6800.0,1916.9,353867.0,22636.0,460.0
2019,,Svenska Handelsbanken,Banking,Sweden,7415.0,2021.0,341788.0,21756.0,450.0
2020,,Svenska Handelsbanken,Banking,Sweden,7190.0,1680.2,362999.0,18306.0,464.0
2021,,Svenska Handelsbanken,Banking,Sweden,6514.0,1693.1,381768.0,22761.0,453
2022,578,Svenska Handelsbanken,Banking,Sweden,6336.0,2274.6,369651.0,19520.0,
