Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,503.0,Sysco,Food Markets,United States,36450.0,1060,9950.0,16940.0,
2009,439.0,Sysco,Food Markets,United States,37900.0,1090,9810.0,12670.0,
2010,402.0,Sysco,Food Markets,United States,35780.0,1140,10280.0,17170.0,
2011,489.0,Sysco,Food Markets,United States,38430.0,1142.7,10328.0,16217.0,
2012,,Sysco,Food Markets,United States,41018.0,1147.6,11454.0,17321.0,496.0
2013,,Sysco,Food Markets,United States,43434.0,1076.8,12428.0,19842.0,479.0
2014,,Sysco,Food Markets,United States,45480.0,980.9,13013.0,21123.0,518.0
2015,,Sysco,Food Markets,United States,48097.0,871.9,17970.0,22408.0,496.0
2016,,Sysco,Food Markets,United States,48865.0,766.8,13089.0,25842.0,518.0
2017,,Sysco,Food Markets,United States,53077.0,1031.9,17630.0,27978.0,424.0
2018,,Sysco,Food Markets,United States,57832.0,1287.0,18629.0,32728.0,461.0
2019,,Sysco,Food Markets,United States,59646.0,1477.0,18194.0,36451.0,437.0
2020,,Sysco,Food Markets,United States,60461.0,1813.0,19372.0,28614.0,391.0
2021,,Sysco,Food Markets,United States,45902.0,-337.5,22490.0,41119.0,723
2022,596,Sysco,Food Markets,United States,60738.0,785.5,21427.0,45061.0,
