Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,904.0,TD Ameritrade Holding,Diversified Financials,United States,2740.0,740,18860.0,10880.0,
2009,910.0,TD Ameritrade Holding,Diversified Financials,United States,2660.0,750,12500.0,7000.0,
2010,845.0,TD Ameritrade Holding,Diversified Financials,United States,2430.0,600,18450.0,10260.0,
2011,970.0,TD Ameritrade Holding,Diversified Financials,United States,2598.0,601.0,15033.0,12393.0,
2012,,TD Ameritrade Holding,Diversified Financials,United States,2765.0,644.7,20080.0,11027.0,967.0
2013,,TD Ameritrade Holding,Diversified Financials,United States,2644.0,580.5,21018.0,11537.0,994.0
2014,,TD Ameritrade Holding,Diversified Financials,United States,2927.0,721.0,22236.0,18770.0,876.0
2015,,TD Ameritrade Holding,Diversified Financials,United States,3206.0,806.0,23815.0,19948.0,872.0
2016,,TD Ameritrade Holding,Diversified Financials,United States,3292.0,830.0,27154.0,16993.0,847.0
2017,,TD Ameritrade Holding,Diversified Financials,United States,3369.0,846.0,28834.0,20274.0,836.0
2018,,TD Ameritrade Holding,Diversified Financials,United States,4571.0,1010.0,38554.0,34938.0,769.0
2019,,TD Ameritrade Holding,Diversified Financials,United States,5706.0,1780.0,37191.0,30038.0,631.0
2020,,TD Ameritrade Holding,Diversified Financials,United States,5826.0,1931.0,51005.0,21231.0,587.0
