Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2012,,Taishin Financial Holdings,Diversified Financials,Taiwan,2402.0,264.8,84225.0,2654.0,1493.0
2013,,Taishin Financial Holdings,Diversified Financials,Taiwan,2357.0,311.4,86230.0,2830.0,1403.0
2014,,Taishin Financial Holdings,Diversified Financials,Taiwan,2464.0,650.0,95877.0,3578.0,1114.0
2015,,Taishin Financial Holdings,Diversified Financials,Taiwan,2770.0,53.6,43738.0,3778.0,1745.0
2016,,Taishin Financial Holdings,Diversified Financials,Taiwan,1565.0,416.4,46282.0,3264.0,1390.0
2017,,Taishin Financial Holdings,Diversified Financials,Taiwan,1439.0,353.5,48931.0,3902.0,1483.0
2018,,Taishin Financial Holdings,Diversified Financials,Taiwan,1731.0,451.5,59526.0,4901.0,1439.0
2019,,Taishin Financial Holdings,Diversified Financials,Taiwan,1839.0,429.0,58135.0,4806.0,1513.0
2020,,Taishin Financial Holdings,Diversified Financials,Taiwan,2053.0,468.7,67750.0,4571.0,1427.0
2021,,Taishin Financial Holdings,Diversified Financials,Taiwan,2018.0,492.2,78157.0,5276.0,1327
2022,1367,Taishin Financial Holdings,Diversified Financials,Taiwan,2601.0,727.2,90814.0,7546.0,
