Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,298.0,Takeda Pharmaceutical,Drugs & Biotechnology,Japan,11110.0,2860,25990.0,47440.0,
2009,220.0,Takeda Pharmaceutical,Drugs & Biotechnology,Japan,13780.0,3560,28580.0,33240.0,
2010,225.0,Takeda Pharmaceutical,Drugs & Biotechnology,Japan,15800.0,2410,27830.0,35470.0,
2011,257.0,Takeda Pharmaceutical,Drugs & Biotechnology,Japan,15686.0,3185.9,30144.0,38882.0,
2012,,Takeda Pharmaceutical,Drugs & Biotechnology,Japan,17075.0,2981.9,33299.0,35047.0,269.0
2013,,Takeda Pharmaceutical,Drugs & Biotechnology,Japan,18228.0,1499.9,43220.0,43582.0,281.0
2014,,Takeda Pharmaceutical,Drugs & Biotechnology,Japan,16953.0,1058.4,42108.0,36998.0,348.0
2015,,Takeda Pharmaceutical,Drugs & Biotechnology,Japan,16888.0,1064.8,38812.0,39345.0,356.0
2016,,Takeda Pharmaceutical,Drugs & Biotechnology,Japan,15125.0,-924.1,34830.0,39036.0,666.0
2017,,Takeda Pharmaceutical,Drugs & Biotechnology,Japan,15921.0,1216.6,35513.0,36874.0,348.0
2018,,Takeda Pharmaceutical,Drugs & Biotechnology,Japan,15925.0,1695.9,39153.0,33396.0,400.0
2019,,Takeda Pharmaceutical,Drugs & Biotechnology,Japan,16126.0,1000.0,52565.0,56557.0,377.0
2020,,Takeda Pharmaceutical,Drugs & Biotechnology,Japan,29692.0,-498.5,119913.0,56565.0,490.0
2021,,Takeda Pharmaceutical,Drugs & Biotechnology,Japan,29964.0,1692.5,119000.0,53265.0,195
2022,214,Takeda Pharmaceutical,Drugs & Biotechnology,Japan,31545.0,3991.1,110273.0,45319.0,
