Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,625.0,Tenaga Nasional,Utilities,Malaysia,6660.0,1160,19340.0,12270.0,
2009,575.0,Tenaga Nasional,Utilities,Malaysia,7580.0,760,20580.0,7540.0,
2010,709.0,Tenaga Nasional,Utilities,Malaysia,8170.0,260,20260.0,10210.0,
2011,550.0,Tenaga Nasional,Utilities,Malaysia,9625.0,1016.5,23589.0,11144.0,
2012,,Tenaga Nasional,Utilities,Malaysia,10797.0,167.4,25002.0,11351.0,905.0
2013,,Tenaga Nasional,Utilities,Malaysia,11471.0,1343.2,28315.0,12592.0,516.0
2014,,Tenaga Nasional,Utilities,Malaysia,11989.0,1573.8,31308.0,20695.0,443.0
2015,,Tenaga Nasional,Utilities,Malaysia,13611.0,2179.3,33343.0,22321.0,408.0
2016,,Tenaga Nasional,Utilities,Malaysia,11178.0,1495.0,27547.0,20991.0,464.0
2017,,Tenaga Nasional,Utilities,Malaysia,10922.0,1727.4,30912.0,17435.0,490.0
2018,,Tenaga Nasional,Utilities,Malaysia,11043.0,1923.0,35650.0,23084.0,503.0
2019,,Tenaga Nasional,Utilities,Malaysia,12488.0,923.0,37192.0,16693.0,612.0
2020,,Tenaga Nasional,Utilities,Malaysia,12295.0,1093.2,43723.0,16188.0,540.0
2021,,Tenaga Nasional,Utilities,Malaysia,10465.0,855.0,45105.0,13933.0,679
2022,837,Tenaga Nasional,Utilities,Malaysia,12696.0,883.4,43831.0,11849.0,
