Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1132.0,Thai Oil,Oil & Gas Operations,Thailand,8750.0,640,4600.0,5120.0,
2009,1825.0,Thai Oil,Oil & Gas Operations,Thailand,11560.0,10,3770.0,1350.0,
2010,1366.0,Thai Oil,Oil & Gas Operations,Thailand,8520.0,360,4120.0,2670.0,
2011,1409.0,Thai Oil,Oil & Gas Operations,Thailand,10590.0,299.3,4855.0,5208.0,
2012,,Thai Oil,Oil & Gas Operations,Thailand,14137.0,471.0,4898.0,4714.0,1288.0
2013,,Thai Oil,Oil & Gas Operations,Thailand,14622.0,403.0,5579.0,4715.0,1368.0
2014,,Thai Oil,Oil & Gas Operations,Thailand,13492.0,338.2,6358.0,3341.0,1587.0
2015,,Thai Oil,Oil & Gas Operations,Thailand,12009.0,-123.9,5868.0,3375.0,1958.0
2016,,Thai Oil,Oil & Gas Operations,Thailand,8566.0,355.4,5347.0,3872.0,1765.0
2017,,Thai Oil,Oil & Gas Operations,Thailand,7787.0,601.5,6093.0,4393.0,1509.0
2018,,Thai Oil,Oil & Gas Operations,Thailand,9943.0,732.5,6999.0,5765.0,1451.0
2019,,Thai Oil,Oil & Gas Operations,Thailand,12044.0,314.0,8260.0,4615.0,1996.0
