Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2012,,Thermo Fisher Scientific,Health Care Equipment & Services,United States,11726.0,1329.9,26834.0,21187.0,430.0
2013,,Thermo Fisher Scientific,Health Care Equipment & Services,United States,12510.0,1177.9,27445.0,27577.0,425.0
2014,,Thermo Fisher Scientific,Health Care Equipment & Services,United States,13090.0,1282.0,31863.0,47752.0,383.0
2015,,Thermo Fisher Scientific,Health Care Equipment & Services,United States,16890.0,1894.4,42852.0,52970.0,293.0
2016,,Thermo Fisher Scientific,Health Care Equipment & Services,United States,16965.0,1975.4,40889.0,57782.0,267.0
2017,,Thermo Fisher Scientific,Health Care Equipment & Services,United States,18274.0,2021.8,45908.0,59899.0,251.0
2018,,Thermo Fisher Scientific,Health Care Equipment & Services,United States,22006.0,2252.5,56580.0,87123.0,240.0
2019,,Thermo Fisher Scientific,Health Care Equipment & Services,United States,24358.0,2938.0,56232.0,103903.0,222.0
2020,,Thermo Fisher Scientific,Health Care Equipment & Services,United States,25647.0,3669.0,58688.0,132182.0,184.0
2021,,Thermo Fisher Scientific,Health Care Equipment & Services,United States,32218.0,6375.0,69052.0,193726.0,124
2022,120,Thermo Fisher Scientific,Health Care Equipment & Services,United States,39211.0,7725.0,95123.0,219707.0,
