Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,875.0,Tokyo Electron,Semiconductors,Japan,7250.0,780,6440.0,11350.0,
2009,731.0,Tokyo Electron,Semiconductors,Japan,9080.0,1060,7820.0,6170.0,
2010,1370.0,Tokyo Electron,Semiconductors,Japan,5220.0,80,6450.0,11130.0,
2011,1589.0,Tokyo Electron,Semiconductors,Japan,4479.0,-96.7,7233.0,11096.0,
2012,,Tokyo Electron,Semiconductors,Japan,8045.0,865.2,9513.0,10253.0,868.0
2013,,Tokyo Electron,Semiconductors,Japan,7648.0,443.6,9308.0,8507.0,1149.0
2014,,Tokyo Electron,Semiconductors,Japan,5446.0,-293.0,7624.0,10953.0,1772.0
2015,,Tokyo Electron,Semiconductors,Japan,6146.0,507.1,6936.0,12436.0,1294.0
2016,,Tokyo Electron,Semiconductors,Japan,5630.0,773.6,6390.0,11668.0,1111.0
2017,,Tokyo Electron,Semiconductors,Japan,6473.0,796.8,7595.0,18053.0,1017.0
2018,,Tokyo Electron,Semiconductors,Japan,10202.0,1844.0,11365.0,32884.0,746.0
2019,,Tokyo Electron,Semiconductors,Japan,11908.0,2328.0,10677.0,26002.0,721.0
2020,,Tokyo Electron,Semiconductors,Japan,10368.0,1703.4,11843.0,33364.0,693.0
2021,,Tokyo Electron,Semiconductors,Japan,12019.0,2016.8,12305.0,70196.0,583
2022,545,Tokyo Electron,Semiconductors,Japan,17094.0,3595.1,14974.0,67251.0,
