Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1117.0,Torchmark,Insurance,United States,3490.0,530,15240.0,5550.0,
2009,1448.0,Torchmark,Insurance,United States,3330.0,450,13530.0,1740.0,
2010,1252.0,Torchmark,Insurance,United States,3220.0,400,16020.0,3900.0,
2011,1316.0,Torchmark,Insurance,United States,3368.0,517.1,16160.0,5077.0,
2012,,Torchmark,Insurance,United States,3377.0,517.9,17156.0,5064.0,1388.0
2013,,Torchmark,Insurance,United States,3590.0,529.3,18777.0,5559.0,1332.0
2014,,Torchmark,Insurance,United States,3775.0,528.5,18192.0,6996.0,1316.0
2015,,Torchmark,Insurance,United States,3964.0,542.9,20215.0,7013.0,1392.0
2016,,Torchmark,Insurance,United States,3766.0,527.1,19853.0,6927.0,1319.0
2017,,Torchmark,Insurance,United States,3934.0,549.2,21436.0,8969.0,1242.0
2018,,Torchmark,Insurance,United States,4202.0,1494.2,23182.0,9711.0,1075.0
