Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,238.0,Toshiba,Technology Hardware & Equipment,Japan,60560.0,1170,48680.0,24770.0,
2009,219.0,Toshiba,Technology Hardware & Equipment,Japan,76830.0,1280,56760.0,7940.0,
2010,479.0,Toshiba,Technology Hardware & Equipment,Japan,68340.0,-3530,51640.0,21240.0,
2011,509.0,Toshiba,Consumer Durables,Japan,68283.0,-211.2,54532.0,25417.0,
2012,,Toshiba,Consumer Durables,Japan,76974.0,1658.3,60602.0,19259.0,205.0
2013,,Toshiba,Consumer Durables,Japan,73691.0,890.4,65064.0,21330.0,263.0
2014,,Toshiba,Consumer Durables,Japan,65006.0,631.9,61602.0,17907.0,369.0
2015,,Toshiba,Consumer Durables,Japan,63172.0,794.2,58184.0,17335.0,356.0
2016,,Toshiba,Consumer Durables,Japan,52545.0,-4866.6,49623.0,9409.0,727.0
2017,,Toshiba,Consumer Durables,Japan,47206.0,-3830.8,47724.0,8259.0,817.0
2018,,Toshiba,Consumer Durables,Japan,38674.0,-3621.7,39864.0,17040.0,749.0
2019,,Toshiba,Consumer Durables,Japan,34356.0,7765.0,39381.0,17326.0,329.0
2020,,Toshiba,Consumer Durables,Japan,32152.0,-1412.6,33083.0,11397.0,818.0
2021,,Toshiba,Consumer Durables,Japan,28387.0,698.8,32626.0,19186.0,545
2022,537,Toshiba,Consumer Durables,Japan,30125.0,1686.4,30761.0,18186.0,
