Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,8.0,Toyota Motor,Consumer Durables,Japan,203800.0,13990,276380.0,175080.0,
2009,3.0,Toyota Motor,Consumer Durables,Japan,263420.0,17210,324980.0,102350.0,
2010,360.0,Toyota Motor,Consumer Durables,Japan,210840.0,-4490,292730.0,127100.0,
2011,55.0,Toyota Motor,Consumer Durables,Japan,202775.0,2241.2,323487.0,137786.0,
2012,,Toyota Motor,Consumer Durables,Japan,228494.0,4910.4,358341.0,147937.0,25.0
2013,,Toyota Motor,Consumer Durables,Japan,224491.0,3425.4,371336.0,167168.0,31.0
2014,,Toyota Motor,Consumer Durables,Japan,255641.0,18848.5,385502.0,193542.0,12.0
2015,,Toyota Motor,Consumer Durables,Japan,252185.0,19120.4,389693.0,239045.0,11.0
2016,,Toyota Motor,Consumer Durables,Japan,235832.0,19267.0,406692.0,176960.0,10.0
2017,,Toyota Motor,Consumer Durables,Japan,249902.0,17111.5,412496.0,171850.0,10.0
2018,,Toyota Motor,Consumer Durables,Japan,265165.0,22502.2,473044.0,200682.0,12.0
2019,,Toyota Motor,Consumer Durables,Japan,272144.0,17241.0,465625.0,176602.0,15.0
2020,,Toyota Motor,Consumer Durables,Japan,280529.0,22681.9,495064.0,173300.0,11.0
2021,,Toyota Motor,Consumer Durables,Japan,249370.0,14341.7,561870.0,219175.0,12
2022,10,Toyota Motor,Consumer Durables,Japan,281746.0,28154.4,552456.0,237726.0,
