Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,606.0,Transneft,Oil & Gas Operations,Russia,7690.0,1960,21870.0,8150.0,
2009,566.0,Transneft,Oil & Gas Operations,Russia,28680.0,2350,30140.0,1290.0,
2010,665.0,Transneft,Oil & Gas Operations,Russia,9010.0,2310,31540.0,1230.0,
2011,608.0,Transneft,Oil & Gas Operations,Russia,11581.0,3972.2,46836.0,2192.0,
2012,,Transneft,Oil & Gas Operations,Russia,14634.0,3897.5,54104.0,3018.0,587.0
2013,,Transneft,Oil & Gas Operations,Russia,20812.0,5841.0,57847.0,3573.0,547.0
2014,,Transneft,Oil & Gas Operations,Russia,23671.0,5343.9,65880.0,15592.0,279.0
2015,,Transneft,Oil & Gas Operations,Russia,22005.0,4057.6,56816.0,3594.0,555.0
2016,,Transneft,Oil & Gas Operations,Russia,13306.0,2339.0,36683.0,20375.0,361.0
2017,,Transneft,Oil & Gas Operations,Russia,12660.0,3475.7,45601.0,4730.0,658.0
2018,,Transneft,Oil & Gas Operations,Russia,15161.0,3291.0,50485.0,4391.0,667.0
2019,,Transneft,Oil & Gas Operations,Russia,15599.0,3571.0,45980.0,19267.0,386.0
2020,,Transneft,Oil & Gas Operations,Russia,16441.0,2772.4,54257.0,13381.0,405.0
2021,,Transneft,Oil & Gas Operations,Russia,14263.0,2100.1,44095.0,13934.0,513
2022,684,Transneft,Oil & Gas Operations,Russia,14107.0,2360.2,46082.0,10133.0,
