Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,504.0,UBI Banca,Banking,Italy,6090.0,850,97460.0,15090.0,
2009,338.0,UBI Banca,Banking,Italy,10840.0,1290,176930.0,6090.0,
2010,717.0,UBI Banca,Banking,Italy,11120.0,100,168460.0,7910.0,
2011,720.0,UBI Banca,Banking,Italy,8714.0,387.0,174290.0,6196.0,
2012,,UBI Banca,Banking,Italy,6765.0,225.3,173711.0,4269.0,1180.0
2013,,UBI Banca,Banking,Italy,7402.0,106.0,174773.0,3739.0,1183.0
2014,,UBI Banca,Banking,Italy,6777.0,333.0,171199.0,8914.0,853.0
2015,,UBI Banca,Banking,Italy,6646.0,-962.7,147368.0,7445.0,1070.0
2016,,UBI Banca,Banking,Italy,4673.0,129.6,127315.0,3846.0,1414.0
2017,,UBI Banca,Banking,Italy,4606.0,-918.3,118537.0,3572.0,1434.0
2018,,UBI Banca,Banking,Italy,5306.0,778.9,152953.0,5834.0,1014.0
2019,,UBI Banca,Banking,Italy,5590.0,502.0,143244.0,3602.0,1181.0
2020,,UBI Banca,Banking,Italy,5255.0,281.2,142025.0,3244.0,1493.0
