Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1935.0,UCO Bank,Banking,India,1350.0,70,17320.0,1010.0,
2009,1872.0,UCO Bank,Banking,India,1810.0,80,22380.0,280.0,
2010,1910.0,UCO Bank,Banking,India,1780.0,110,22010.0,680.0,
2011,1709.0,UCO Bank,Banking,India,2340.0,225.8,30568.0,1189.0,
2012,,UCO Bank,Banking,India,2759.0,203.5,36615.0,1038.0,1788.0
2013,,UCO Bank,Banking,India,3065.0,218.0,35392.0,745.0,1818.0
2014,,UCO Bank,Banking,India,3202.0,113.6,33930.0,1212.0,1860.0
2015,,UCO Bank,Banking,India,3508.0,198.8,38224.0,1061.0,1801.0
2016,,UCO Bank,Banking,India,3222.0,-136.3,37286.0,660.0,1816.0
2017,,UCO Bank,Banking,India,2869.0,-443.1,35669.0,905.0,1849.0
2018,,UCO Bank,Banking,India,2399.0,-443.9,33373.0,530.0,1948.0
