Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1972.0,UGI,Utilities,United States,5780.0,220,6070.0,2730.0,
2009,1481.0,UGI,Utilities,United States,6660.0,250,6450.0,2590.0,
2010,1645.0,UGI,Utilities,United States,5580.0,240,6450.0,2740.0,
2011,1935.0,UGI,Oil & Gas Operations,United States,5738.0,275.7,6808.0,3534.0,
2014,,UGI,Oil & Gas Operations,United States,7484.0,294.4,10664.0,5204.0,1777.0
2016,,UGI,Oil & Gas Operations,United States,6295.0,361.5,10780.0,6854.0,1528.0
2017,,UGI,Oil & Gas Operations,United States,5762.0,480.8,11300.0,8605.0,1364.0
2018,,UGI,Oil & Gas Operations,United States,7209.0,627.9,12445.0,8644.0,1383.0
2019,,UGI,Oil & Gas Operations,United States,7733.0,417.0,12368.0,9142.0,1567.0
2020,,UGI,Oil & Gas Operations,United States,7114.0,404.0,14286.0,6294.0,1815.0
2021,,UGI,Oil & Gas Operations,United States,6474.0,623.0,14725.0,9181.0,1545
2022,1462,UGI,Oil & Gas Operations,United States,8705.0,1067.0,16800.0,7685.0,
