Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,118.0,US Bancorp,Banking,United States,20310.0,4320,237620.0,55390.0,
2009,124.0,US Bancorp,Banking,United States,19230.0,2950,265910.0,25120.0,
2010,117.0,US Bancorp,Banking,United States,19490.0,2210,281180.0,46890.0,
2011,131.0,US Bancorp,Banking,United States,20518.0,3317.0,307786.0,52200.0,
2012,,US Bancorp,Banking,United States,21399.0,4872.0,340122.0,60481.0,122.0
2013,,US Bancorp,Banking,United States,22202.0,5647.0,353855.0,63765.0,116.0
2014,,US Bancorp,Banking,United States,20150.0,5802.0,364021.0,78244.0,125.0
2015,,US Bancorp,Banking,United States,20252.0,5826.0,406214.0,77227.0,126.0
2016,,US Bancorp,Banking,United States,21120.0,5816.0,428638.0,74996.0,97.0
2017,,US Bancorp,Banking,United States,22006.0,5870.0,450954.0,86608.0,96.0
2018,,US Bancorp,Banking,United States,24063.0,6391.0,460119.0,84587.0,109.0
2019,,US Bancorp,Banking,United States,25703.0,7098.0,475775.0,81885.0,103.0
2020,,US Bancorp,Banking,United States,25891.0,6364.0,542909.0,55526.0,103.0
2021,,US Bancorp,Banking,United States,23145.0,6052.0,553375.0,86939.0,88
2022,132,US Bancorp,Banking,United States,23124.0,7212.0,586517.0,75485.0,
