Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,94.0,Unilever,"Food, Drink & Tobacco",Netherlands/United Kingdom,54820.0,5300,53400.0,92750.0,
2009,79.0,Unilever,"Food, Drink & Tobacco",Netherlands/United Kingdom,56440.0,7000,48750.0,58240.0,
2010,85.0,Unilever,"Food, Drink & Tobacco",Netherlands/United Kingdom,57050.0,4830,52050.0,91330.0,
2011,103.0,Unilever,"Food, Drink & Tobacco",Netherlands,59253.0,5689.4,54830.0,91926.0,
2012,,Unilever,"Food, Drink & Tobacco",Netherlands,60191.0,5514.3,61466.0,102446.0,107.0
2013,,Unilever,"Food, Drink & Tobacco",Netherlands,67710.0,5916.0,59909.0,122317.0,103.0
2014,,Unilever,"Food, Drink & Tobacco",Netherlands,66111.0,6428.3,62715.0,124521.0,110.0
2015,,Unilever,Consumer Durables,Netherlands,64248.0,6859.0,58115.0,129098.0,113.0
2016,,Unilever,Consumer Durables,Netherlands,59074.0,5444.0,56811.0,137213.0,109.0
2017,,Unilever,Consumer Durables,Netherlands,58311.0,5734.5,59518.0,143891.0,103.0
2018,,Unilever,Consumer Durables,Netherlands,60587.0,6827.4,72390.0,155786.0,103.0
2019,,Unilever,Consumer Durables,Netherlands,60146.0,11077.0,67967.0,153638.0,106.0
2020,,Unilever,Consumer Durables,Netherlands,58179.0,6295.8,72745.0,130583.0,110.0
2021,,Unilever,Consumer Durables,United Kingdom,57833.0,6346.1,82784.0,151051.0,90
2022,125,Unilever,Consumer Durables,United Kingdom,62000.0,7154.5,85398.0,116162.0,
