Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1607.0,Union National Bank,Banking,United Arab Emirates,950.0,320,15100.0,3960.0,
2009,1579.0,Union National Bank,Banking,United Arab Emirates,950.0,320,15100.0,1020.0,
2010,1405.0,Union National Bank,Banking,United Arab Emirates,1190.0,300,20620.0,1680.0,
2011,1541.0,Union National Bank,Banking,United Arab Emirates,1220.0,337.3,22264.0,1989.0,
2012,,Union National Bank,Banking,United Arab Emirates,1194.0,377.7,22452.0,2181.0,1573.0
2013,,Union National Bank,Banking,United Arab Emirates,1239.0,403.1,23724.0,2684.0,1550.0
2014,,Union National Bank,Banking,United Arab Emirates,1185.0,442.0,23835.0,5172.0,1501.0
2015,,Union National Bank,Banking,United Arab Emirates,1184.0,519.8,25446.0,4480.0,1484.0
2016,,Union National Bank,Banking,United Arab Emirates,1290.0,486.8,27739.0,2802.0,1458.0
2017,,Union National Bank,Banking,United Arab Emirates,1352.0,409.3,28293.0,3446.0,1589.0
2018,,Union National Bank,Banking,United Arab Emirates,1470.0,426.6,29274.0,2734.0,1740.0
