Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,231.0,Veolia Environnement,Utilities,France,37760.0,1000,51150.0,42780.0,
2009,282.0,Veolia Environnement,Utilities,France,50390.0,560,66170.0,10300.0,
2010,207.0,Veolia Environnement,Utilities,France,49500.0,840,69150.0,16200.0,
2011,307.0,Veolia Environnement,Utilities,France,46568.0,777.9,66710.0,14977.0,
2012,,Veolia Environnement,Utilities,France,38403.0,-634.5,63793.0,8730.0,691.0
2013,,Veolia Environnement,Utilities,France,38837.0,519.5,57178.0,6809.0,576.0
2014,,Veolia Environnement,Utilities,France,29626.0,-220.6,49940.0,10764.0,719.0
2015,,Veolia Environnement,Utilities,France,31675.0,326.4,42018.0,10893.0,723.0
2016,,Veolia Environnement,Utilities,France,27684.0,499.2,38986.0,13315.0,526.0
2017,,Veolia Environnement,Utilities,France,26980.0,347.7,40027.0,10150.0,721.0
2018,,Veolia Environnement,Utilities,France,28339.0,376.5,46002.0,13596.0,754.0
2019,,Veolia Environnement,Utilities,France,30569.0,440.0,42974.0,13090.0,696.0
2020,,Veolia Environnement,Utilities,France,30431.0,693.3,46044.0,11841.0,548.0
2021,,Veolia Environnement,Utilities,France,29651.0,101.2,55505.0,16511.0,739
2022,703,Veolia Environnement,Utilities,France,33696.0,477.9,60360.0,21201.0,
