Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,919.0,Vestas Wind Systems,Capital Goods,Denmark,7090.0,420,6050.0,19060.0,
2009,770.0,Vestas Wind Systems,Capital Goods,Denmark,8410.0,710,7300.0,8140.0,
2010,651.0,Vestas Wind Systems,Capital Goods,Denmark,9510.0,830,9080.0,9890.0,
2011,1346.0,Vestas Wind Systems,Capital Goods,Denmark,9244.0,208.4,9188.0,6741.0,
2012,,Vestas Wind Systems,Capital Goods,Denmark,7565.0,-215.2,9560.0,2291.0,1948.0
2013,,Vestas Wind Systems,Capital Goods,Denmark,9503.0,-1268.3,8995.0,1639.0,1962.0
2014,,Vestas Wind Systems,Capital Goods,Denmark,8078.0,-108.8,7772.0,9420.0,1574.0
2015,,Vestas Wind Systems,Capital Goods,Denmark,9163.0,519.6,8467.0,9769.0,1222.0
2016,,Vestas Wind Systems,Capital Goods,Denmark,9341.0,759.8,9328.0,14742.0,907.0
2017,,Vestas Wind Systems,Capital Goods,Denmark,11321.0,1066.9,10475.0,17470.0,774.0
2018,,Vestas Wind Systems,Capital Goods,Denmark,11408.0,976.9,13672.0,13566.0,889.0
2019,,Vestas Wind Systems,Capital Goods,Denmark,11958.0,807.0,13602.0,17925.0,847.0
2020,,Vestas Wind Systems,Capital Goods,Denmark,13597.0,788.0,16087.0,16813.0,750.0
2021,,Vestas Wind Systems,Capital Goods,Denmark,16886.0,870.5,22220.0,40127.0,524
2022,933,Vestas Wind Systems,Capital Goods,Denmark,18423.0,197.4,22416.0,28225.0,
