Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,119.0,Walt Disney,Media,United States,36380.0,4240,62770.0,61030.0,
2009,102.0,Walt Disney,Media,United States,36990.0,4020,64900.0,31130.0,
2010,98.0,Walt Disney,Media,United States,36290.0,3310,69310.0,61170.0,
2011,110.0,Walt Disney,Media,United States,39040.0,4421.0,70950.0,81527.0,
2012,,Walt Disney,Media,United States,40956.0,4969.0,73877.0,77412.0,121.0
2013,,Walt Disney,Media,United States,42840.0,5600.0,80642.0,103957.0,108.0
2014,,Walt Disney,Media,United States,45968.0,6594.0,83166.0,142915.0,100.0
2015,,Walt Disney,Media,United States,49781.0,7843.0,87035.0,179525.0,84.0
2016,,Walt Disney,Media,United States,53902.0,9080.0,90121.0,169308.0,71.0
2017,,Walt Disney,Media,United States,54943.0,8990.0,91576.0,178017.0,67.0
2018,,Walt Disney,Media,United States,56826.0,11473.0,97943.0,152137.0,72.0
2019,,Walt Disney,Media,United States,59402.0,10963.0,99941.0,238095.0,70.0
2020,,Walt Disney,Media,United States,74822.0,10373.0,200948.0,195258.0,36.0
2021,,Walt Disney,Media,United States,60409.0,-4954.0,201888.0,339926.0,352
2022,94,Walt Disney,Media,United States,72982.0,3082.0,203311.0,215326.0,
