Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2009,1587.0,Want Want China,"Food, Drink & Tobacco",Taiwan,1580.0,270,1420.0,5230.0,
2010,1477.0,Want Want China,"Food, Drink & Tobacco",China,1580.0,270,1420.0,8800.0,
2011,1521.0,Want Want China,"Food, Drink & Tobacco",China,2244.0,358.4,1845.0,10976.0,
2012,,Want Want China,"Food, Drink & Tobacco",China,3018.0,429.7,3123.0,14936.0,1403.0
2013,,Want Want China,"Food, Drink & Tobacco",China,3359.0,553.8,3461.0,19773.0,1227.0
2014,,Want Want China,"Food, Drink & Tobacco",China,3818.0,687.3,4348.0,20269.0,1200.0
2015,,Want Want China,"Food, Drink & Tobacco",China,3775.0,620.5,4284.0,15264.0,1369.0
2016,,Want Want China,"Food, Drink & Tobacco",China,3428.0,542.1,3805.0,10658.0,1488.0
2017,,Want Want China,"Food, Drink & Tobacco",China,2967.0,529.9,3915.0,9051.0,1661.0
2018,,Want Want China,"Food, Drink & Tobacco",China,2812.0,449.3,3802.0,11419.0,1882.0
2019,,Want Want China,"Food, Drink & Tobacco",China,3139.0,491.0,4015.0,9854.0,1932.0
2020,,Want Want China,"Food, Drink & Tobacco",China,3022.0,542.5,4112.0,8904.0,1809.0
