Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,484.0,Weyerhaeuser,Materials,United States,16310.0,790,23810.0,12920.0,
2009,965.0,Weyerhaeuser,Materials,United States,8020.0,-1180,16740.0,5100.0,
2010,1090.0,Weyerhaeuser,Materials,United States,5530.0,-550,15250.0,8820.0,
2011,662.0,Weyerhaeuser,Materials,United States,6552.0,1281.0,13429.0,13074.0,
2012,,Weyerhaeuser,Materials,United States,6216.0,331.0,12598.0,11815.0,1074.0
2013,,Weyerhaeuser,Materials,United States,7059.0,385.0,12592.0,16570.0,955.0
2014,,Weyerhaeuser,Materials,United States,8558.0,563.0,14498.0,17392.0,815.0
2015,,Weyerhaeuser,Materials,United States,7709.0,1826.0,13457.0,16864.0,742.0
2016,,Weyerhaeuser,Materials,United States,7136.0,506.0,12486.0,24650.0,870.0
2017,,Weyerhaeuser,Materials,United States,6803.0,986.0,19243.0,26110.0,682.0
2018,,Weyerhaeuser,Materials,United States,7380.0,694.0,17885.0,27722.0,853.0
2019,,Weyerhaeuser,Materials,United States,7476.0,748.0,17249.0,19632.0,901.0
2020,,Weyerhaeuser,Materials,United States,6554.0,-76.0,16406.0,16320.0,1362.0
2021,,Weyerhaeuser,Materials,United States,7532.0,797.0,16311.0,29441.0,828
2022,717,Weyerhaeuser,Materials,United States,10201.0,2607.0,17652.0,31019.0,
