Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,728.0,Whirlpool,Consumer Durables,United States,19410.0,640,14010.0,6400.0,
2009,933.0,Whirlpool,Consumer Durables,United States,18910.0,420,13530.0,1640.0,
2010,692.0,Whirlpool,Consumer Durables,United States,17100.0,330,15090.0,6430.0,
2011,730.0,Whirlpool,Consumer Durables,United States,18366.0,619.0,15584.0,6337.0,
2012,,Whirlpool,Consumer Durables,United States,18666.0,390.0,15181.0,5887.0,921.0
2013,,Whirlpool,Consumer Durables,United States,18143.0,365.0,15396.0,9053.0,828.0
2014,,Whirlpool,Consumer Durables,United States,18769.0,827.0,15544.0,11875.0,648.0
2015,,Whirlpool,Consumer Durables,United States,19872.0,650.0,20002.0,15700.0,625.0
2016,,Whirlpool,Consumer Durables,United States,20891.0,783.0,19010.0,14484.0,574.0
2017,,Whirlpool,Consumer Durables,United States,20718.0,888.0,19153.0,12442.0,630.0
2018,,Whirlpool,Consumer Durables,United States,21378.0,291.0,20339.0,11042.0,1042.0
2019,,Whirlpool,Consumer Durables,United States,21037.0,-183.0,18347.0,8847.0,1159.0
2020,,Whirlpool,Consumer Durables,United States,19987.0,865.0,19395.0,7004.0,833.0
2021,,Whirlpool,Consumer Durables,United States,19449.0,1081.0,20350.0,14739.0,665
2022,798,Whirlpool,Consumer Durables,United States,21984.0,1783.0,20285.0,10162.0,
