Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,907.0,Wolters Kluwer,Media,Netherlands,4980.0,1350,7640.0,7980.0,
2009,1028.0,Wolters Kluwer,Media,Netherlands,4700.0,440,8830.0,4590.0,
2010,1396.0,Wolters Kluwer,Media,Netherlands,4780.0,160,8670.0,5960.0,
2011,1321.0,Wolters Kluwer,Media,Netherlands,4760.0,385.5,8677.0,6924.0,
2013,,Wolters Kluwer,Media,Netherlands,4753.0,425.0,8541.0,6601.0,1588.0
2014,,Wolters Kluwer,Media,Netherlands,4733.0,459.4,9458.0,8378.0,1507.0
2015,,Wolters Kluwer,Media,Netherlands,4855.0,627.4,8914.0,10131.0,1409.0
2016,,Wolters Kluwer,Media,Netherlands,4666.0,469.1,8798.0,11606.0,1395.0
2017,,Wolters Kluwer,Media,Netherlands,4753.0,540.9,9903.0,11857.0,1343.0
2018,,Wolters Kluwer,Media,Netherlands,4988.0,755.7,10190.0,15610.0,1307.0
2019,,Wolters Kluwer,Media,Netherlands,5026.0,775.0,9769.0,19055.0,1272.0
2020,,Wolters Kluwer,Media,Netherlands,5162.0,748.8,9850.0,19604.0,1202.0
2021,,Wolters Kluwer,Media,Netherlands,5247.0,821.9,10257.0,24164.0,1137
2022,1373,Wolters Kluwer,Media,Netherlands,5639.0,860.5,10438.0,26814.0,
