Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2009,1527.0,ZTE,Technology Hardware & Equipment,China,4760.0,170,5570.0,5500.0,
2010,950.0,ZTE,Technology Hardware & Equipment,China,6500.0,240,7600.0,12700.0,
2011,867.0,ZTE,Technology Hardware & Equipment,China,8829.0,360.1,10081.0,13573.0,
2012,,ZTE,Technology Hardware & Equipment,China,10660.0,493.1,12877.0,9687.0,858.0
2013,,ZTE,Technology Hardware & Equipment,China,13348.0,-450.0,16399.0,6472.0,1165.0
2014,,ZTE,Technology Hardware & Equipment,Hong Kong,12126.0,221.7,16738.0,7184.0,1220.0
2015,,ZTE,Technology Hardware & Equipment,Hong Kong,13009.0,427.7,17772.0,11658.0,869.0
2016,,ZTE,Technology Hardware & Equipment,Hong Kong,15715.0,576.8,19186.0,8489.0,776.0
2017,,ZTE,Technology Hardware & Equipment,China,15081.0,-329.0,20382.0,9941.0,1052.0
2018,,ZTE,Technology Hardware & Equipment,China,16776.0,765.0,22115.0,19454.0,682.0
2019,,ZTE,Technology Hardware & Equipment,China,12801.0,-1106.0,18840.0,20039.1,1001.0
2020,,ZTE,Technology Hardware & Equipment,China,13136.0,739.5,20271.0,12006.0,779.0
2021,,ZTE,Technology Hardware & Equipment,China,14719.0,618.7,23034.0,11559.0,861
2022,873,ZTE,Technology Hardware & Equipment,China,17640.0,1054.5,26645.0,9763.0,
