Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,957.0,Zions Bancorp,Banking,United States,3620.0,490,52950.0,5120.0,
2009,1565.0,Zions Bancorp,Banking,United States,3160.0,-270,55090.0,1080.0,
2010,1541.0,Zions Bancorp,Banking,United States,3320.0,-1220,51120.0,2750.0,
2011,1620.0,Zions Bancorp,Banking,United States,2760.0,-292.7,51035.0,4273.0,
2012,,Zions Bancorp,Banking,United States,2720.0,323.8,53149.0,4103.0,1427.0
2013,,Zions Bancorp,Banking,United States,2459.0,349.5,55512.0,4708.0,1340.0
2014,,Zions Bancorp,Banking,United States,2301.0,386.1,56364.0,5772.0,1288.0
2015,,Zions Bancorp,Banking,United States,2377.0,404.9,57450.0,5466.0,1386.0
2016,,Zions Bancorp,Banking,United States,2213.0,309.5,59904.0,5580.0,1431.0
2017,,Zions Bancorp,Banking,United States,2470.0,455.0,63445.0,8405.0,1107.0
2018,,Zions Bancorp,Banking,United States,2814.0,688.0,66481.0,11395.0,980.0
2019,,Zions Bancorp,Banking,United States,3034.0,884.0,68941.0,8805.0,996.0
2020,,Zions Bancorp,Banking,United States,3197.0,614.0,71467.0,5179.0,1252.0
2021,,Zions Bancorp,Banking,United States,2947.0,708.0,81479.0,9183.0,1086
2022,1055,Zions Bancorp,Banking,United States,2956.0,1119.0,93200.0,9226.0,
